ΞΟΦΛΗΜΕΝ,ξοφλημένους
ΧΑΡΤΟΒΑΑΣΙΛΕΙ,χαρτοβαασίλειο
ΧΑΡΙΤΟΒΡΥΤ,χαριτόβρυτος
ΧΑΡΙΕΝΤΙΖΕΣ,χαριεντίζεσαι
ΧΑΡΕΜ,χαρέμι
ΧΑΡΒΑΛ,χάρβαλο
ΧΑΡΑΤΣΙ,χαράτσια
ΧΑΠΑΚΙ,χαπάκιας
ΧΑΝΤΟΥΜ,χαντούμης
ΧΑΝΤΑΚ,χαντάκι
ΧΑΝ,χάνι
ΧΑΜΟΥΤΖ,χαμουτζής
ΧΑΜΗΛΟΒΛΕΠΟΥΣ,χαμηλοβλεπούσα
ΧΑΜΑΛ,χαμάλης
ΧΑΛΙ,χαλια
ΧΑΛ,χάλι
ΧΑΛΑΖ,χαλάζι
ΧΑΙΡΕΤΟΥΡ,χαιρετούρα
ΧΑΙΡΕΤΙΣΜ,χαιρέτισμα
ΧΑΙΡΕΤΗΜ,χαιρέτημα
ΧΑΙΡΕΚΑΚΙ,χαιρεκακία
ΧΑΪΜΑΛ,χαϊμαλί
ΧΑΖΟΧΑΡΟΥΜΕΝ,χαζοχαρούμενος
ΧΑΖΟΥΛΙΑΚ,χαζούλιακας
ΧΑΖ,χαζός
ΧΑΖΟΠΟΥΛ,χαζοπούλι
ΧΑΖΟΚΟΥΤ,χαζοκούτι
ΧΑΖΟΒΙΟΛ,χαζοβιόλα
ΦΩΤΟΡΟΜΑΝΤΣ,φωτορομάντσο
ΦΩΚΙ,φώκια
ΦΥΛΛΑΔ,φυλλάδα
ΦΤΩΧ,φτωχός
ΦΤΩΧΑΔΑΚ,φτωχαδάκι
ΦΡΟΥΤ,φρούτο
ΦΡΟΚΑΛ,φρόκαλο
ΦΡΙΚ,φρίκη
ΦΡΕΝΙΤΙΔ,φρενίτιδα
ΦΡΕΝΑΠΑΤ,φρεναπάτη
ΦΡΑΓΚΟΠΑΠ,φραγκόπαπας
ΦΟΥΣΤΑΝΕΛ,φουστανέλα
ΦΟΥΣΚΩΜΑΡ,φουσκωμάρα
ΦΟΥΣΚΟΔΕΝΤΡΙ,φουσκοδεντριά
ΦΟΥΝΤΩΣ,φούντωση
ΦΟΥΚΑΡΑΤΖΙΚ,φουκαρατζίκος
ΦΟΥΚΑΡ,φουκαράς
ΦΟΡΤΙΣ,φόρτιση
ΦΟΡΤΙ,φορτίο
ΦΟΡΤΙΖ,φορτίζω
ΦΟΡΑΔ,φοράδα
ΦΟΙΤΗΤΟΠΑΤΕΡ,φοιτητοπατέρας
ΦΟΙΤΗΤΑΡΙ,φοιτηταριό
ΦΟΒ,φόβος
ΦΛΩΡΟΚΟΥΡΑΜΠΙΕΔ,φλωροκουραμπιέδες
ΦΛΟΓΙΣΜ,φλόγισμα
ΦΛΕΓΜΑΤΙΚ,φλεγματικός
ΦΛΕΓΜ,φλέγμα
ΦΙΟΓΚ,φιόγκος
ΦΙΛΟΤΟΜΑΡΙΣΤ,φιλοτομαριστής
ΦΙΛΟΤΟΜΑΡΙΣΜ,φιλοτομαρισμός
ΦΙΛΟΛΟΓΙΖ,φιλολογίζων
ΦΙΛΟΑΜΕΡΙΚΑΝΙΚ,φιλοαμερικανικός
ΦΙΔ,φίδι
ΦΘΟΝ,φθόνος
ΦΕΡΕΦΩΝ,φερέφωνο
ΦΕΛΛ,φελλός
ΦΑΦΛΑΤ,φαφλατάς
ΦΑΤΣ,φάτσα
ΦΑΣΙΣΤΟΦΙΛΕΛΕΔ,φασιστοφιλελέδες
ΦΑΣΙΣΤΟΥΛ,φασιστούλη
ΦΑΣΙΣΤΟΜΟΥΤΡ,φασιστόμουτρο
ΦΑΣΙΣΤΟΕΙΔ,φασιστοειδής
ΦΑΣΙΣΤ,φασίστες
ΦΑΣΙΣΤΑΡΙ,φασισταριό
ΦΑΣΙΣΜ,φασισμός
ΦΑΡΜΑΚΟΤΡΙΦΤ,φαρμακοτρίφτης
ΦΑΡ,φάρα
ΦΑΝΤΑΣΙΟΠΛΗΚΤ,φαντασιόπληκτος
ΦΑΚΙΔΙΑΡ,φακιδιάρης
ΦΑΙΔΡ,φαιδρός
ΥΦΕΣ,υφεση
ΥΣΤΕΡΙΚ,υστερικής
ΥΣΤΕΡΙ,υστερία
ΥΠΟΧΡΕΩΤΙΚ,υποχρεωτικός
ΥΠΟΧΡΕΩΣ,υποχρέωση
ΥΠΟΚΡΙΤ,υποκριτής
ΥΠΟΚΡΙΝΟΜ,υποκρίνομαι
ΥΠΟΚΕΙΜΕΝ,υποκείμενο
ΥΠΝΗΛΙ,υπνηλία
ΥΠΕΡΦΙΑΛ,υπερφίαλος
ΥΠΑΝΘΡΩΠ,υπάνθρωπος
ΥΠΑΝΔΡ,ύπανδρος
ΥΒΡΙΣ,ύβρις
ΤΥΨ,τύψη
ΤΥΦΛΟΣΟΥΡΤ,τυφλοσούρτης
ΤΥΦΛ,τύφλα
ΤΥΡΟΓΑΛ,τυρόγαλο
ΤΥΠΟΠΟΙΗΣ,τυποποίηση
ΤΥΠΟΛΑΤΡ,τυπολάτρης
ΤΥΠΙΚΟΥΡ,τυπικούρα
ΤΣΟΥΤΣΕΚ,τσουτσέκι
ΤΣΟΥΡΜ,τσούρμο
ΤΣΟΥΛΟΥΦ,τσουλούφι
ΤΣΟΠΑΝ,τσοπάνης
ΤΣΟΝΤ,τσόντα
ΤΣΟΜΠΑΝ,τσομπάνης
ΤΣΟΓΛΑΝ,τσογλάνι
ΤΣΙΡΑΚ,τσιράκι
ΤΣΙΠ,τσίπα
ΤΣΙΜΠΟΥΚ,τσιμπούκι
ΤΣΙΜΕΝΤΟΥΠΟΛ,τσιμεντούπολη
ΤΣΙΓΚΕΛ,τσιγκέλι
ΤΣΙΓΓΑΝ,τσιγγάνος
ΤΣΙΓΓΑΝΑΡΙ,τσιγγαναριό
ΤΣΑΡΛΑΤΑΝ,τσαρλατάνος
ΤΣΑΚΙΔΙ,τσακίδια
ΤΣΑΓΚΑΡΟΔΕΥΤΕΡ,τσαγκαροδευτέρα
ΤΡΥΠ,τρύπα
ΤΡΟΜΠ,τρόμπας
ΤΡΟΜΟΚΡΑΤΙΚΟΛΑΓΝ,τρομοκρατικολάγνων
ΤΡΟΜΟΚΡΑΤΙ,τρομοκρατία
ΤΡΟΜΟΚΡΑΤ,τρομοκράτες
ΤΡΙΧ,τρίχα
ΤΡΙΤΟΚΟΣΜΙΚ,τριτοκοσμικός
ΤΡΙ,τρίο
ΤΡΕΜΑΜΕΝ,τρεμάμενος
ΤΡΕΛ,τρελός
ΤΡΕΛΟΓΙΑΤΡ,τρελογιατρός
ΤΡΕΛΑΔΙΚ,τρελάδικο
ΤΡΑΜΠΟΥΚ,τραμπούκους
ΤΡΑΜΠΟΥΚΙΣΜ,τραμπουκισμοί
ΤΡΑΜΠΑΚΟΥΛ,τραμπάκουλο
ΤΡΑΛΑΛ,τραλαλά
ΤΡΑΓ,τράγος
ΤΡΑΓΟΠΑΠ,τραγόπαπας
ΤΡΑΓΟΓΕΝ,τραγογενής
ΤΡΑΓΙΚ,τραγικός
ΤΡΑΒΗΓΜ,τράβηγμα
ΤΟΥΡΚΟΣΠΟΡ,τουρκόσπορος
ΤΟΥΡΚΟΜΠΑΡΟΚ,τουρκομπαρόκ
ΤΟΥΡΚΟΜΕΡΙΤ,τουρκομερίτης
ΤΟΥΡΚΙ,τουρκιά
ΤΟΥΡΚΑΛ,τουρκαλάς
ΤΟΥΜΠΑΝ,τούμπανα
ΤΟΥΒΟΥΛ,τουβούλα
ΤΟΠΟΤΗΡΗΤ,τοποτηρητής
ΤΟΞΙΚ,τοξικοί
ΤΟΜΑΡΙ,τομάρια
ΤΟΜΑΡ,τομάρι
ΤΙΠΟΤΕΝΙ,τιποτένιος
ΤΗΛΕΓΡΑΦΟΞΥΛ,τηλεγραφόξυλο
ΤΖΟΒΕΝ,τζόβενο
ΤΖΙΤΖΙΦΙΟΓΚ,τζιτζιφιόγκος
ΤΕΧΝΟΚΡΑΤ,τεχνοκράτης
ΤΕΧΝΗΕΝΤ,τεχνηέντως
ΤΕΦΤΕΡ,τεφτέρι
ΤΕΡΨΙΛΑΡΥΓΓΙ,τερψιλαρύγγια
ΤΕΝΕΚ,τενεκές
ΤΕΜΠΕΛΟΣΚΥΛ,τεμπελόσκυλο
ΤΑΡΙΦ,ταρίφα
ΤΑΡΑΤΑΤΖΟΥΜ,ταρατατζούμ
ΤΑΔΟΠΟΥΛ,ταδόπουλος
ΤΑΓΜΑΤΑΛΗΤ,ταγματαλήτης
ΤΑΒΕΡΝΟΒΙ,ταβερνόβιος
ΤΑΒΕΡΝΕΙ,ταβερνείο
ΣΧΟΛΑΣΤΙΚ,σχολαστικός
ΣΦΥΡΟΚΟΠ,σφυροκοπώ
ΣΦΟΥΓΓΟΚΩΛΑΡΙ,σφουγγοκωλάριος
ΣΦΟΥΓΓΑΡΟΠΑΝ,σφουγγαρόπανο
ΣΦΙΞΙΜ,σφίξιμο
ΣΦΙΓΓ,σφίγγω
ΣΦΑΓ,σφαγή
ΣΦΑΓΕ,σφαγέα
ΣΥΣΤΕΛΛΟΜ,συστέλλομαι
ΣΥΡΦΕΤ,συρφετός
ΣΥΝΩΜΟΤ,συνωμότες
ΣΥΝΩΜΟΣΙ,συνωμοσία
ΣΥΝΤΡΟΦΙΣΣ,συντρόφισσα
ΣΥΝΤΡΟΦ,συντρόφι
ΣΥΝΤΗΡΗΤΙΚ,συντηρητικός
ΣΥΝΤΕΧΝΙΑΚ,συντεχνιακός
ΣΥΝΤΕΧΝΙ,συντεχνία
ΣΥΝΤΕΤΡΙΜΜΕΝ,συντετριμμένος
ΣΥΝΤΑΞΙΟΥΧ,συνταξιούχος
ΣΥΝΤΑΓ,συνταγή
ΣΥΝΟΜΟΤΑΞΙ,συνομοταξία
ΣΥΝΟΙΚΕΣΙ,συνοικέσιο
ΣΥΝΝΕΦ,σύννεφο
ΣΥΝΕΣΤΑΛΜΕΝ,συνεσταλμένος
ΣΥΝΕΝΟΧ,συνενοχή
ΣΥΝΕΙΡΜ,συνειρμός
ΣΥΜΠΤΩΜ,σύμπτωμα
ΣΥΜΠΛΕΓΜ,σύμπλεγμα
ΣΥΜΟΡΙ,συμορία
ΣΥΜΜΟΡΙΤΟΠΟΛΕΜ,συμμοριτοπόλεμος
ΣΥΜΜΟΡΙΤΙΣΣ,συμμορίτισσα
ΣΥΜΜΟΡΙΤ,συμμορίτης
ΣΥΜΜΟΡΙ,συμμορία
ΣΥΜΒΙ,συμβία
ΣΥΛΛΥΠΟΥΜ,συλλυπούμαι
ΣΥΚΟΦΑΝΤΙ,συκοφαντίες
ΣΥΓΚΡΥ,σύγκρυο
ΣΥΓΚΕΧΥΜΕΝ,συγκεχυμένος
ΣΥΓΚΑΛΗΨ,συγκάληψης
ΣΤΥΦ,στυφός
ΣΤΥΜΜΕΝ,στυμμένο
ΣΤΥΓΝ,στυγνός
ΣΤΡΕΒΛ,στρεβλός
ΣΤΡΑΤ,στρατός
ΣΤΡΑΤΟΛΟΓΙ,στρατολογία
ΣΤΡΑΤΙΩΤΙΝ,στρατιωτίνα
ΣΤΡΑΤΙΩΤ,στρατιώτης
ΣΤΡΑΤΙΩΤΑΚ,στρατιωτάκι
ΣΤΡΑΒΩΜΑΡ,στραβωμάρα
ΣΤΡΑΒΟΥΛΙΑΚ,στραβούλιακας
ΣΤΡΑΒ,στραβός
ΣΤΡΑΒΟΚΑΝ,στραβοκάνης
ΣΤΡΑΒΑΔ,στραβάδι
ΣΤΟΥΡΝ,στούρνος
ΣΤΟΥΡΝΑΡ,στουρνάρι
ΣΤΟΥΠ,στουπί
ΣΤΟΥΜΠΩΝ,στουμπώνω
ΣΤΟΥΜΠ,στούμπος
ΣΤΟΜΩΜ,στόμωμα
ΣΤΙΦ,στίφη
ΣΤΙΛΙΖΑΡΙΣΜ,στιλιζάρισμα
ΣΤΗΘΟΚΟΠΙΕΜ,στηθοκοπιέμαι
ΣΤΕΡ,στερώ
ΣΤΕΡΗΣ,στέρηση
ΣΤΕΡΕΟΤΥΠ,στερεότυπος
ΣΤΕΝΟΧΩΡ,στενόχωρος
ΣΤΕΝΟΧΩΡΙ,στενοχώρια
ΣΤΕΝΟΧΩΡΗΜΕΝ,στενοχωρημένος
ΣΤΕΝΑΧΩΡ,στενάχωρος
ΣΤΕΚ,στέκα
ΣΤΕΓΝΩΝ,στεγνώνω
ΣΤΕΓΝ,στέγνα
ΣΤΑΧΤΟΠΟΥΤ,σταχτοπούτα
ΣΤΑΤΙΚ,στατικός
ΣΤΑΣΙΜΟΤΗΤ,στασιμότητα
ΣΠΟΥΔΑΙΟΛΟΓΙ,σπουδαιολογία
ΣΠΟΥΔΑΙΟΛΟΓΗΜ,σπουδαιολόγημα
ΣΠΕΚΟΥΛ,σπέκουλα
ΣΠΑΡΑΧΤΙΚ,σπαραχτικός
ΣΠΑΡΑΞΙΚΑΡΔΙ,σπαραξικάρδιος
ΣΠΑΡΑΖ,σπαράζω
ΣΟΥΦΡΑΖΕΤ,σουφραζέτα
ΣΟΥΤΑΡ,σουτάρω
ΣΟΥΤ,σουτ
ΣΟΥΡΕΑΛΙΣΤΙΚ,σουρεαλιστικός
ΣΟΥΡΕΑΛ,σουρεάλ
ΣΟΥΡΓΕΛ,σούργελα
ΣΟΥΛΙΜ,σουλιμάς
ΣΟΥΒΛΙ,σουβλιά
ΣΟΥΑΡ,σουαρέ
ΣΟΚΑΡ,σοκάρω
σόι,σόι
ΣΚΥΛ,σκύλος
ΣΚΥΛΟΜΟΥΡ,σκυλομούρης
ΣΚΥΛΟΛ,σκυλολόι
ΣΚΥΛΑΡΑΠ,σκυλάραπας
ΣΚΟΥΠΙΔ,σκουπίδι
ΣΚΟΤΙΖ,σκοτίζω
ΣΚΟΤΑΔΙΣΜ,σκοταδισμού
ΣΚΟΠΙΜΟΤΗΤ,σκοπιμότητα
ΣΚΛΗΡ,σκληρά
ΣΚΛΑΒ,σκλάβος
ΣΚΛΑΒΙ,σκλαβιά
ΣΚΕΛΙ,σκέλια
ΣΚΕΛΕΤ,σκελετός
ΣΚΑ,σκάω
ΣΚΑΤΟΥΛΙΤΣ,σκατουλίτσα
ΣΚΑΤΟΥΛΑΚ,σκατουλάκι
ΣΚΑΤΟΥΛ,σκατούλα
ΣΚΑΤΟΛΟΓ,σκατόλογα
ΣΚΑΤΟΔΟΥΛΕΙ,σκατοδουλειά
ΣΚΑΤΟΓΡΙ,σκατόγρια
ΣΚΑΤΟΓΕΡ,σκατόγερος
ΣΚΑΤΙΛ,σκατίλα
ΣΚΑΤΕΝΙ,σκατένιος
ΣΚΑΤΑΚΙ,σκατάκια
ΣΚΑΤ,σκατά
ΣΚΑΣΜ,σκασμός
ΣΚΑΝΔΑΛ,σκάνδαλο
ΣΚΑΝΔΑΛΙΣΤΙΚ,σκανδαλιστικός
ΣΙΩΠ,σιωπή
ΣΙΧΑΣΙ,σιχασιά
ΣΙΧΑΜΑΡ,σιχαμάρα
ΣΙΧΑΙΝΟΜ,σιχαίνομαι
ΣΙΤΕΜΕΝ,σιτεμένος
ΣΙΡΟΠΙΑΖ,σιροπιάζω
ΣΙΝΑΦ,σινάφι
ΣΙΛΙΚΟΝΑΤ,σιλικονάτος
ΣΒΙΓΚ,σβίγκος
ΣΑΣΤΙΣΜΕΝ,σαστισμένος
ΣΑΣΤΙΖ,σαστίζω
ΣΑΡΞ,σαρξ
ΣΑΡΚΙ,σαρκίο
ΣΑΡΚ,σάρκα
ΣΑΡΔΑΜ,σαρδάμ
ΣΑΡΑΒΑΛ,σαράβαλο
ΣΑΠΟΥΝΟΠΕΡ,σαπουνόπερα
ΣΑΝΤΕΖ,σαντέζα
ΣΑΝΟΦΑΓ,σανοφάγος
ΣΑΜΙΑΜΙΘ,σαμιαμίθι
ΣΑΜΙΑΜΙΔ,σαμιαμίδι
ΣΑΛΙΑΡΙΣΜ,σαλιάρισμα
ΣΑΛΙΑΡΙΖ,σαλιαρίζω
ΣΑΚΑΤΙΣΣ,σακάτισσα
ΣΑΚΑΤΙΛΙΚ,σακατιλίκι
ΣΑΔΙΣΤΙΚ,σαδιστικός
ΣΑΔΙΣΤ,σαδιστής
ΣΑΔΙΣΜ,σαδισμός
ΣΑΒΟΥΡ,σαβούρα
ΡΟΧΑΛ,ροχάλες
ΡΟΥΦΙΑΝ,ρουφιάνος
ΡΟΥΦΗΧΤΡ,ρουφήχτρα
ΡΟΥΣΦΕΤΙ,ρουσφέτια
ΡΟΠΑΛ,ρόπαλα
ΡΗΜΑΔ,ρημάδα
ΡΕΤΣΕΤ,ρετσέτα
ΡΕΤΑΛ,ρετάλι
ΡΕΤΑΛΑΚ,ρεταλάκι
ΡΕΜΠΕΣΚ,ρεμπεσκές
ΡΕΒΕΡΑΝΤΖ,ρεβεράντζα
ΡΑΤΣΙΣΜ,ρατσισμό
ΡΑΜΟΛΙΜΕΝΤ,ραμολιμέντο
ΡΑΜΟΛ,ραμόλης
ΡΑΛΙΣΤ,ραλίστας
ΡΑΓΙΖ,ραγίζω
ΡΑΓΙ,ραγιάς
ΡΑΓΙΑΔΙΣΜ,ραγιαδισμός
ΡΑΓΙΑΔΙΚ,ραγιάδικος
ΠΩΡΩΣ,πώρωση
ΠΥΡΩΣ,πύρωση
ΠΥΡΩΝ,πυρώνω
ΠΥΡΠΟΛ,πυρπολώ
ΠΥΡΕΤ,πυρετός
ΠΥΡΓΟΔΕΣΠΟΤ,πυργοδεσπότης
ΠΥΡΓΟΔΕΣΠΟΙΝ,πυργοδέσποινα
ΠΡΩΤΑΚ,πρωτάκι
ΠΡΟΩΛ,προώλης
ΠΡΟΧΕΙΡΟΤΗΤ,προχειρότητα
ΠΡΟΧΕΙΡ,πρόχειρος
ΠΡΟΦΗΤΙΣΣ,προφήτισσα
ΠΡΟΦΗΤ,προφήτης
ΠΡΟΦΕΣΟΡ,προφέσορας
ΠΡΟΣΩΠΙΔ,προσωπίδα
ΠΡΟΣΩΠΕΙ,προσωπείο
ΠΡΟΣΥΜΦΩΝ,προσυμφωνώ
ΠΡΟΣΠΟΙΗΤ,προσποιητός
ΠΡΟΣΠΟΙΗΣ,προσποίηση
ΠΡΟΣΗΛΥΤ,προσήλυτος
ΠΡΟΔΟΤ,προδότης
ΠΡΟΔΟΣΙ,προδοσία
ΠΡΟΒΟΚΑΤΣΙ,προβοκάτσια
ΠΡΑΚΤΟΡΕΥΣ,πρακτόρευση
ΠΡΑΚΤΟΡ,πράκτορα
ΠΡΑΙΤΟΡΙΑΝ,πραιτοριανός
ΠΡΑΓΜΑΤΙΣΤ,πραγματιστής
ΠΟΥΤΣΟΤΡΙΧ,πουτσότριχες
ΠΟΥΤΣ,πούτσος
ΠΟΥΤΣΑΡ,πουτσαράς
ΠΟΥΣΤΙ,πουστιές
ΠΟΥΣΤ,πούστης
ΠΟΥΣΤΑΡΙ,πουσταριό
ΠΟΥΣΤΑΡ,πουσταράς
ΠΟΡΝΟΓΡΑΦΙ,πορνογραφία
ΠΟΝΤΙΚΟΚΟΥΡΑΔ,ποντικοκούραδο
ΠΟΝ,πόνος
ΠΟΝΗΡ,πονηρός
ΠΟΝΗΡΟΔΟΛΙ,πονηροδόλιος
ΠΟΝΑ,πονάω
ΠΟΛΥΞΕΡ,πολύξερος
ΠΟΛΙΤΙΚΑΝΤΙΣΜ,πολιτικαντισμός
ΠΟΛΙΤΙΚΑΝΤΙΚ,πολιτικάντικος
ΠΟΛΙΤΙΚΑΝΤ,πολιτικάντης
ΠΟΔΟΣΦΑΙΡΟΠΟΙΗΣ,ποδοσφαιροποίηση
ΠΛΗΤΤ,πλήττω
ΠΛΗΞ,πλήξη
ΠΛΕΜΠ,πλέμπα
ΠΛΑΣΤ,πλαστός
ΠΛΑΝΤΑΖ,πλαντάζω
ΠΛΑΚΩΣ,πλάκωση
ΠΛΑΚΩΝ,πλακώνω
ΠΛΑΚΩΜ,πλάκωμα
ΠΙΠ,πίπα
ΠΙΚΡΙΣΜ,πίκρισμα
ΠΙΚΡΙΖ,πικρίζω
ΠΙΚΡΙ,πικρία
ΠΙΚΡΑΜΕΝ,πικραμένος
ΠΙΚΡ,πίκρα
ΠΙΚ,πίκα
ΠΙΘΙΚΑΚΙ,πιθικάκια
ΠΙΕΣ,πίεση
ΠΙΑΤΙΚ,πιατικό
ΠΗΞΙΜ,πήξιμο
ΠΗΖ,πήζω
ΠΕΤΣ,πετσί
ΠΕΤΡΙΝ,πέτρινος
ΠΕΡΙΦΡΟΝΗΣ,περιφρόνηση
ΠΕΡΙΤΤΟΛΟΓΙ,περιττολογία
ΠΕΡΙΣΠΟΥΔΑΣΤ,περισπούδαστος
ΠΕΡΙΠΑΘ,περιπαθής
ΠΕΡΙΕΡΓ,περίεργος
ΠΕΡΔΟΜ,πέρδομαι
ΠΕΝΘ,πενθώ
ΠΕΚΟΥΝΙ,πεκούνια
ΠΕΙΡΑΖ,πειράζω
ΠΕΙΝΑΛΕ,πειναλέος
ΠΕΙΝΑΛ,πεινάλας
ΠΕΙΝ,πείνα
ΠΕΘΑΜΕΝΑΤΖΙΔΙΚ,πεθαμενατζίδικο
ΠΕΘΑΜΕΝΑΤΖ,πεθαμενατζής
ΠΕΖΟΔΡΟΜΙ,πεζοδρόμιο
ΠΑΧΥΔΕΡΜ,παχύδερμος
ΠΑΧΥΔΕΡΜΙΣΜ,παχυδερμισμός
ΠΑΧΥΔΕΡΜΙ,παχυδερμία
ΠΑΤΩΝ,πατώνει
ΠΑΤΣΑΒΟΥΡ,πατσαβούρα
ΠΑΤΡΙΔΟΚΑΠΗΛΙ,πατριδοκαπηλία
ΠΑΤΕΡ,πάτερ
ΠΑΤΑΤ,πατάτας
ΠΑΣΧ,πάσχω
ΠΑΣΤΩΜ,πάστωμα
ΠΑΣΤΡΙΚ,παστρικός
ΠΑΣΟΚΟΠΟΙΗΣ,πασοκοποίηση
ΠΑΣΟΚΑΡΙ,πασοκαρία
ΠΑΡΤΣΑΚΛ,παρτσακλός
ΠΑΡΤΟΥΖΙΤΣ,παρτουζίτσα
ΠΑΡΤΟΥΖ,παρτούζα
ΠΑΡΤΑΛ,παρτάλι
ΠΑΡΟΡΜΗΣ,παρόρμηση
ΠΑΡΕΞΗΓΗΣ,παρεξήγηση
ΠΑΡΕΙΣΑΚΤ,παρείσακτος
ΠΑΡΑΦΟΡ,παραφορά
ΠΑΡΑΤ,παράτα
ΠΑΡΑΠΟΝ,παράπονο
ΠΑΡΑΞΕΝ,παράξενος
ΠΑΡΑΜΥΘ,παραμυθάς
ΠΑΡΑΚΡΟΥΣ,παράκρουση
ΠΑΡΑΚΕΝΤ,παρακεντές
ΠΑΡΑΙΤ,παραιτώ
ΠΑΡΑΙΣΘΗΣ,παραίσθηση
ΠΑΡΑΓΟΝΤΙΖ,παραγοντίζω
ΠΑΠΑΡΙ,παπάρια
ΠΑΠΑΔΑΡΙ,παπαδαριό
ΠΑΠΑΓΑΛΙΖ,παπαγαλίζει
ΠΑΝΤΟΓΝΩΣΤΡΙ,παντογνώστρια
ΠΑΝΤΟΓΝΩΣΤ,παντογνώστης
ΠΑΝΙΚ,πανικός
ΠΑΝ,πανί
ΠΑΝΗΛΙΘΙ,πανηλίθιο
ΠΑΝΗΓΥΡΤΖ,πανηγυρτζής
ΠΑΝΗΓΥΡΙΩΤΙΚ,πανηγυριώτικος
ΠΑΝΗΓΥΡΙΤΖ,πανηγυριτζής
ΠΑΝΗΓΥΡ,πανηγύρι
ΠΑΝΕΠΙΣΤΗΜ,πανεπιστήμων
